AREA,PRICE
1360,327794
4272,1024734
3592,871245
966,232765
4926,1219080
3944,944719
3671,881048
3419,832090
630,161270
2185,551931
1269,323495
2891,708242
2933,713105
1684,416717
3885,934581
4617,1114764
3404,809395
974,233548
1582,392680
3058,738344
2547,608971
3247,782606
1475,364386
2306,555800
689,175328
3234,769943
3505,839971
2399,575809
1767,414748
2028,520481
3702,885412
4056,991238
4390,1056301
1146,272346
3388,823358
2935,696073
1100,259718
2863,691760
2561,611641
741,171195
2541,626126
3324,814898
3112,749098
1863,450251
1978,491308
3056,725692
1275,312099
4514,1112732
534,148949
3652,864869
2455,586809
2085,506533
4443,1062576
3573,858457
1521,366910
3961,973100
3113,753304
4343,1053751
2000,489389
661,165484
4797,1161790
2481,588760
1495,369884
3842,934588
4298,1029718
1775,422962
1516,375948
837,208719
1378,326455
1576,378901
4493,1086467
879,219004
992,252684
2562,621000
4384,1073201
564,145295
3068,744919
2527,597434
3195,763336
1995,490466
891,198634
4974,1205557
4061,993305
2778,674168
3599,865421
700,161026
3604,880807
2954,719976
4145,1000784
1304,326393
3231,790870
3273,810385
2070,506883
3190,770757
4340,1049425
1528,350632
1002,244123
4993,1208810
1370,318420
